GER, ESP
"aber","pero"
"abfahren","salir"
"abholen","recoger"
"abschicken","enviar"
"aktuell","actual"
"alles","todo"
"also","así que"
"also","entonces"
"am darauffolgenden Tag","al día siguinte"
"amtlich","oficial"
"anders","distinto"
"anfangen","empezar"
"angenehm","me alegro"
"anhalten","parar"
"ankommen","llegar"
"anscheinend","al parecer"
"anscheinend","parece que"
"anstatt","en lugar de"
"antik","antiguo"
"arabisch","árabe"
"arbeiten","trabajar"
"atlantisch","atlántico"
"auch","también"
"auch nicht","tampoco"
"auf Wiedersehen","adiós"
"ausführen","realizar"
"ausfüllen","rellenar"
"ausgezeichnet","excelente"
"außer","aparte de"
"außerdem","además"
"außergewöhnlich","extraordinario"
"baden","bañarse"
"bauen","construir"
"bedeuten","significar"
"beeindrucken","impresionar"
"begrenzt","limitado"
"bei vielen Leuten","en mucha gente"
"beim Einkaufen","de compras"
"bekannt","conocido"
"benutzen","usar"
"bequem","cómodo"
"besonders","especialmente"
"besser","mejor"
"besser gesagt","mejor dicho"
"bestimmt","determinado"
"besuchen","visitar"
"beträchtlich","considerable"
"bewußt","consciente"
"billig","barato"
"bis zum nächsten Mal","hasta la próxima vez"
"bitte","por favor"
"bitten","pedir"
"bleiben","quedarse"
"bleifrei","sin plomo"
"brauchen","necesitar"
"danke","gracias"
"dann","después"
"darin","dentro"
"das Angebot","la oferta"
"das Automobil","el automóvil"
"das Bad","el baño"
"das Bankkonto","la cuenta bancaria"
"das Beförderungsmittel","el medio de locomoción"
"das Benzin","la gasolina"
"das Bett","la cama"
"das Buch","el libro"
"das Darlehen","el préstamo"
"das Doppelzimmer","la habitación doble"
"das Ehepaar","el matrimonio"
"das Einzelzimmer","la habitación individual"
"das Fleisch","la carne"
"das Formular","el formulario"
"das Frühstück","el desayuno"
"das Gebirge","la montaña"
"das Gebäude","el edificio"
"das Geld","el dinero"
"das Gepäck","el equipaje"
"das Glas","la copa"
"das Haus","la casa"
"das heißt","o sea"
"das Hotel","el hotel"
"das Ideal","el ideal"
"das Innere","el interior"
"das Instrument","el instrumento"
"das Jahr","el año"
"das jetzige","esto de ahora"
"das Kastilische","el castellano"
"das Kind","el niño"
"das Klima","el clima"
"das Kompliment","el piropo"
"das Kunstwerk","la obra de arte"
"das Land","el país"
"das Licht","la luz"
"das Mineralwasser","la agua mineral"
"das Mittagessen","la comida"
"das Obst","la fruta"
"das Paar","el par"
"das Papier","el papel"
"das Parken","el aparcamiento"
"das Problem","el problema"
"das Programm","el programa"
"das Restaurant","el restaurante"
"das Sonderangebot","la oferta especial"
"das Spanische","el español"
"das Speiseeis","el helado"
"das Symbol","el símbolo"
"das Taxi","el taxi"
"das Telefon","el teléfono"
"das Telegramm","el telegrama"
"das Thema","el tema"
"das Tier","el animal"
"das Trinkgeld","la propina"
"das Trinkglas","el vaso"
"das Viertel","el cuarto"
"das Volk","el pueblo"
"das Wasser","la agua"
"das Wetter","el tiempo"
"das Wochenende","el fin de semana"
"das Wort","la palabra"
"das Wunder","la maravilla"
"das Zentrum","el centro"
"das Zimmer","la habitación"
"das öffentliche Transportmittel","el medio de transporte público"
"das Öl","el aceite"
"dein","tuyo"
"denken","pensar"
"der Abflug","la salida del avión"
"der Anfang","el principio"
"der Angestellte","el empleado"
"der Anreiz","el estímulo"
"der Aperitif","el aperitivo"
"der Araber","el árabe"
"der Artikel","el articulo"
"der Ausdruck","la expresión"
"der Ausflug","la excursión"
"der Ausländer","el extranjero"
"der Autobus","el autobús"
"der Bahnhof","la estación"
"der Beauftragte","el encargado"
"der Bekannte","el conocido"
"der Brief","la carta"
"der Briefkasten","el buzón"
"der Bungalow","el chalet"
"der Effekt","el efecto"
"der Ehemann","el marido"
"der Eigenname","el nombre propio"
"der Einkauf","la compra"
"der Einwohner","el habitante"
"der Empfangsangestellte","el recepcionista"
"der Erwachsene","el mayor"
"der Familienname","el apellido"
"der Fehler","la falta"
"der Festpreis","el precio fijo"
"der Fisch","el pescado"
"der Flug","el vuelo"
"der Flughafen","el aeropuerto"
"der Fluss","el río"
"der Freund","el amigo"
"der Fußgänger","el peatón"
"der Herr","el caballero"
"der Kampf","la lucha"
"der Kellner","el camarero"
"der Kognak","el coñac"
"der Kontakt","el contacto"
"der Kopf","la cabeza"
"der Kopfschmerz","el dolor de cabeza"
"der Kredit","el crédito"
"der Kunde","el cliente"
"der König","el rey"
"der Lehrer","el maestro"
"der Lehrer","el profesor"
"der Liegewagenplatz","la litera"
"der Liter","el litro"
"der Lärm","el ruido"
"der Monat","el mes"
"der Musiklehrer","el profesor de música"
"der Nachmittag","la tarde"
"der Name","el nombre"
"der Norden","el norte"
"der Ort","el lugar"
"der Osten","el oeste"
"der Plan","el plan"
"der Preis","el precio"
"der Preisnachlass","el descuento"
"der Punkt","el punto"
"der Quadratkilometer","el kilómetro cuadrado"
"der Rabatt","la rebaja"
"der Raum","el espacio"
"der Regen","la lluvia"
"der Reisende","el viajero"
"der Reisescheck","el cheque de viaje"
"der Rotwein","el vino tinto"
"der Saft","el zumo"
"der Salat","la ensalada"
"der Satz","la frase"
"der Schalter","la ventanilla"
"der Schlüssel","la llave"
"der Schmerz","el dolor"
"der Schnee","la nieve"
"der Schuh","el zapato"
"der Schüler","el estudiante"
"der See","el lago"
"der Service","el servicio"
"der Sinn","el sentido"
"der Sitz","el asiento"
"der Ski","el esquí"
"der Sportlehrer","el profesor de deporte"
"der Sprachenlehrer","el profesor de idiomas"
"der Staat","el estado"
"der Stau","el atasco"
"der Stierkampf","la corrida de toros"
"der Süden","el sur"
"der Tagesablauf","el horario"
"der Taxifahrer","el taxista"
"der Teil","la parte"
"der Tisch","la mesa"
"der Titel","el título"
"der Tourist","el turista"
"der Turnlehrer","el profesor de gimnasia"
"der Unfall","el accidente"
"der Urlaub","las vacaciones"
"der Vergleich","la comparación"
"der Verkehr","el tráfico"
"der Verkäufer","el vendedor"
"der Vogel","el pájaro"
"der Wagen","el coche"
"der Wechselkurs","el cambio"
"der Weg","el camino"
"der Winter","el invierno"
"der Zins","el interés"
"der Zug","el tren"
"der Ärger","el disgusto"
"deshalb","por eso"
"deutsch","alemán"
"die Abfahrt","la salida"
"die Abteilung","el departamento"
"die Angelegenheit","el asunto"
"die Antwort","la respuesta"
"die Anwendung","el uso"
"die Art","la manera"
"die Art","el tipo"
"die Ausdehnung","la extensión"
"die Banknote","el billete de banco"
"die Besessenheit","la obsesión"
"die Diskothek","la discoteca"
"die Distanzierung","el distanciamiento"
"die Dusche","la ducha"
"die Ecke","la vuelta"
"die Einbahnstraße","la calle de dirección única"
"die Epoche","la época"
"die Erde","la tierra"
"die Erfrischung","el refresco"
"die Fabrikation","la fabricación"
"die Flasche","la botella"
"die Form","la forma"
"die Frage","la pregunta"
"die Frau","la mujer"
"die Freizeit","el tiempo libre"
"die Garnele","la gamba"
"die Gattin","la esposa"
"die Geburt","el nacimiento"
"die Geldstrafe","la multa"
"die Gelegenheit","la ocasión"
"die Gepäckaufbewahrung","el consigna"
"die Geschwindigkeitsbeschränkung","la restricción de velocidad"
"die Gesellschaft","la compañía"
"die Gesundheit","la salud"
"die Grammatik","la gramática"
"die Grippe","la gripe"
"die Halbinsel","la península"
"die Hand","la mano"
"die Hauptstadt","la capital"
"die Havarie","la avería"
"die Hypothek","la hipoteca"
"die Häppchen","las tapas"
"die Höflichkeit","la cortesía"
"die Hölle","el infierno"
"die Idee","la idea"
"die Information","la información"
"die Insel","la isla"
"die junge Dame","la señorita"
"die Kampagne","la campaña"
"die Karteikarte","la ficha"
"die Kasse","la caja"
"die Kathedrale","la catedral"
"die Kenntnis","el conocimiento"
"die Kontrolle","el control"
"die Kraft","la fuerza"
"die Kälte","el frío"
"die Küste","la costa"
"die Landstraße","la carretera"
"die Lektion","la lección"
"die Leute","la gente"
"die Meeresfrüchte","los mariscos"
"die Million","el millón"
"die Mittelmeerzone","la zona mediterránea"
"die Möglichkeit","la posibilidad"
"die Münze","la moneda"
"die Nachrichten","las noticias"
"die Nachspeise","el postre"
"die Nacht","la noche"
"die Nationalität","la nacionalidad"
"die Nervosität","el nerviosismo"
"die Ortschaft","la población"
"die Pause","el descanso"
"die Pension","la pensión"
"die Periode","el período"
"die Personalien","los datos personales"
"die Plauderei","la charla"
"die Politik","la política"
"die Post","el correo"
"die Postkarte","el postal"
"die Probe","la prueba"
"die Präposition","la preposición"
"die Rechnung","la cuenta"
"die Regel","la regla"
"die Region","la región"
"die Reinigung","la limpieza"
"die Reservierung","la reserva"
"die Rezeption","la recepción"
"die Richtung","la dirección"
"die Ruhe","la tranquilidad"
"die Ruine","la ruina"
"die Rundreise","la gira"
"die Sache","la cosa"
"die Sardellen","las anchoas"
"die Schlagzeile","el titular"
"die Schule","la escuela"
"die Schwierigkeit","la dificultad"
"die Schönheit","la belleza"
"die Schülerin","la alumna"
"die Sitte","la costumbre"
"die Situation","la situación"
"die Sonne","el sol"
"die Spanierin","la española"
"die Speisekarte","la carta"
"die Spezialität","la especialidad"
"die Sprache","la lengua"
"die Sprache","el idioma"
"die Stadt","la ciudad"
"die Stewardess","la azafata"
"die Straße","la calle"
"die Straßenbahn","el tranvía"
"die Stunde","la hora"
"die Störung","la molestia"
"die Suppe","la sopa"
"die Tankstelle","la gasolinera"
"die Telefonnummer","el número de teléfono"
"die Temperatur","la temperatura"
"die Uhr","el reloj"
"die Umarmung","el abrazo"
"die Umweltverschmutzung","la contaminación"
"die Universität","la universidad"
"die Unterhaltung","la conversación"
"die Unterschrift","la firma"
"die Vegetation","la vegetación"
"die Vereinigung","la unificación"
"die Vorhersage","el pronóstico"
"die Vorliebe","la afición"
"die Vorspeise","el primer plato"
"die Werbung","la propaganda"
"die Windschutzscheibe","el parabrisas"
"die Wirklichkeit","la realidad"
"die Wirklichkeit","el realidad"
"die Wissenschaft","la ciencia"
"die Wohnung","el piso"
"die Wärme","el calor"
"die Zeitschrift","la revista"
"die Zeitung","el periódico"
"die Zivilisation","la civilisación"
"die Überweisung","la transferencia"
"dieser","esto"
"direkt","directo"
"doppelt","doble"
"dort","allí"
"drei","tres"
"dreizehn","trece"
"eigentümlich","original"
"ein wenig","un poco"
"eine Weile","un buen rato"
"einfach","simplemente"
"einfach","sencillamente"
"einfach","sencillo"
"einheitlich","uniforme"
"einwerfen","echar"
"enden","terminar"
"entschuldigen Sie","disculpe usted"
"erlauben","permitir"
"erledigen","arreglar"
"erläutern","explicar"
"erster","primero"
"erzeugen","producir"
"erzählen","contar"
"es gibt","hay"
"es ist fünf Uhr dreißig","son las cinco y media"
"es ist unwichtig","no tiene importancia"
"es tut mir leid","lo siento"
"essen","comer"
"etwas","algo"
"etwas anderes","otra cosa"
"euer","vuestro"
"existieren","existir"
"extrem","extremo"
"fallen","caer"
"falsch","falso"
"fast","casi"
"fehlen","faltar"
"fortsetzen","continuar"
"fragen","preguntar"
"frei","libre"
"fröhlich","alegre"
"frühstücken","desayunar"
"funktionieren","funcionar"
"fühlen","sentir"
"fünfhundert","quinientos"
"fünfundzwanzig","veinticinco"
"fünfzig","cincuenta"
"für","para"
"geben","dar"
"gefallen","gustar"
"gegen","contra"
"gegenüber","enfrente"
"gehen","andar"
"gehen","ir"
"gelegentlich","ocasional"
"genau","exactamente"
"genügen","bastar"
"genügend","bastante"
"gerade","precisamente"
"glauben","creer"
"gleichfalls","igualmente"
"glücklich","feliz"
"groß","grande"
"grün","verde"
"grüßen","saludar"
"gut","bueno"
"gute Fahrt","buen viaje"
"guten Nachmittag","buenas tardes"
"guten Tag","buenos días"
"haben","tener"
"hallo","hola"
"hart","duro"
"heißen","llamarse"
"herausbilden","formar"
"herbringen","traer"
"heute","hoy"
"hier","aquí"
"hin und zurück","ida y vuelta"
"hineingehen","entrar"
"hoch","alto"
"hundert","cien"
"Hunger haben","tener hambre"
"höflich","cortés"
"hören","oír"
"ich danke ihnen","yo le doy las gracias a usted"
"ich möchte","quisiera"
"ich nehme sie","me quedo con ellos"
"ideal","ideal"
"ihrerseits","de su parte"
"im allgemeinen","en general"
"in","en"
"inbegriffen","incluído"
"innerhalb","dentro de"
"ja","sí"
"jener","aquello"
"jetzt","ahora"
"jetzt","ahora"
"Juni","junio"
"keine Ursache","de nada"
"keiner","ninguno"
"kennen","conocer"
"kennzeichnen","caracterizar"
"klar","claro"
"klein","pequeño"
"kommen","venir"
"kompliziert","complicado"
"kosten","valer"
"krank","enfermo"
"können","poder"
"lang","largo"
"lange brauchen","tardar"
"langweilig","aburrido"
"lassen","dejar"
"leben","viver"
"leicht","fácil"
"lernen","aprender"
"lesen","leer"
"letztendlich","al fin y al cabo"
"letzter","último"
"liebenswürdig","amable"
"logisch","lógico"
"logischerweise","lógicamente"
"lösen","resolver"
"machen","hacer"
"manchmal","alguna vez"
"mein","mío"
"meistens","generalmente"
"mieten","alquilar"
"mit","con"
"modern","moderno"
"morgen","mañana"
"morgens","por la mañana"
"möglich","posible"
"möglicherweise","posiblemente"
"müssen","tener que"
"nach","tras"
"nachts","de noche"
"national","nacional"
"natürlich","naturalmente"
"natürlicher","natural"
"nehmen","tomar"
"neun","nueve"
"nicht","no"
"nicht ganz gut","no bien del todo"
"noch immer","todavía"
"normalerweise","normalmente"
"nur","solamente"
"nur","sólo"
"nächster","próximo"
"nützlich","útil"
"ob","si"
"obwohl","aunque"
"oder","o"
"oft","muchas veces"
"ohne","sin"
"organisiert","organizado"
"praktisch","prácticamente"
"preiswert","económico"
"Prozent","por ciento"
"prächtig","grandioso"
"pünktlich","puntual"
"rauchen","fumar"
"Recht haben","tener razón"
"rechts","a la derecha"
"regelmäßig","regularmente"
"regnen","llover"
"romanisch","románico"
"ruhig","tranquilo"
"sagen","decir"
"schlafen","dormir"
"schlecht","malo"
"schmeicheln","halagar"
"schmutzig","sucio"
"schnell","rápido"
"schon","ya"
"schwierig","difícil"
"schön","bonito"
"sechzig","sesenta"
"sehen","ver"
"sehr gut","muy bien"
"sein","suyo"
"sein","estar"
"sein","ser"
"sein","estar"
"seitdem","desde entonces"
"selbst","mismo"
"seltsam","extraño"
"September","septiembre"
"sich befinden","encontrarse"
"sich erinnern","acordarse"
"sich freuen","alegrarse"
"sich unwohl fühlen","sentirse disgusto"
"sicher","seguro"
"sie sind mir zu klein","me están pequeñas"
"sieben","siete"
"so","así"
"so wie","tan como"
"sondern","sino"
"soviel wie","tanto como"
"soweit immer möglich","a ser posible"
"Spanien","España"
"sparen","ahorrar"
"sprechen","hablar"
"später","más tarde"
"staatlich","estatal"
"stellen","poner"
"studieren","estudiar"
"stören","molestar"
"sympatisch","simpático"
"Südamerika","Sudamérica"
"tatsächlich","efectivamente"
"tausend","mil"
"teuer","caro"
"trinken","beber"
"trotzdem","sin embargo"
"typisch","típico"
"täglich","diario"
"um","a"
"um diese Zeit","a esta hora"
"um Gottes willen","por Dios"
"umsteigen","hacer transbordo"
"umstritten","discutido"
"unabhängig","independiente"
"unbedeutend","insignificante"
"unbekannt","desconocido"
"ungefähr","alrededor de"
"unmittelbar","inmediatamente"
"unser","nuestro"
"unter anderem","entre otros"
"unterrichten","enseñar"
"unterscheiden","distinguir"
"unwiderstehlich","irrestible"
"verallgemeinert","generalizado"
"verboten","prohibido"
"vereinigen","unir"
"verhältnismäßig","relativamente"
"verkaufen","vender"
"verschieden","variado"
"verstehen","entender"
"verstehen","comprender"
"versuchen","probar"
"verursachen","originar"
"verzeihen","perdonar"
"Verzeihung","perdón"
"viele","muchos"
"vier","cuatro"
"voll","lleno"
"von","de"
"vor","antes de"
"vor Christus","antes de Cristo"
"vorstellen","presentar"
"vorziehen","preferir"
"wann","cuándo"
"warten","esperar"
"warum","por qué"
"was","qué"
"was gibt es","qué hay"
"was ist das","qué es eso"
"wechseln","cambiar"
"weil","porque"
"weit weg","lejos"
"weiterer","otro"
"welche","cuál"
"wenn","cuando"
"wer","quién"
"wichtig","importante"
"wie geht es","cómo va eso"
"wie lange","cuánto tiempo"
"wie schade","qué lástima"
"wiederholen","repasar"
"wieviel","cuánto"
"willkommen","bienvenido"
"wissen","saber"
"witzig","gracioso"
"wo","dónde"
"wollen","querer"
"wunderschön","maravilloso"
"wählen","marcar"
"während","durante"
"wünschen","desear"
"zahlen","pagar"
"zu Abend essen","cenar"
"zu Fuß gehen","ir a pie"
"zuerst","primero"
"zuhören","escuchar"
"zum Beispiel","por ejemplo"
"zumindest","al menos"
"zurückhaltend","reservado"
"zweihundert","doscientos"
"öffnen","abrir"
"üben","practicar"
"überraschen","sorprendir"
"übersetzen","traducir"
"übertreiben","exagerar"
