Getting around,Unterwegs
Subway,U-Bahn
Train,Zug
Bus,Bus
Taxi,Taxi
"I need to go to ___________, please.","Ich muss nach ___________, bitte."
Where is the ticket office?,Wo ist der Fahrkartenschalter?
Where can I buy a ticket?,Wo bekomme ich eine Fahrkarte?
"One ticket, please.","Eine Fahrkarte, bitte."
Where is the bus stop?,Wo ist die Bushaltestelle?
How much does it cost to the city center?,Wie teuer ist es zum Stadtzentrum?
How much does it cost to the airport?,Wie teuer ist es zum Flughafen?
"Here, please.","Hier, bitte."
Where is the closest taxi stand?,Wo ist der nächste Taxistand?
Where is the closest subway stop?,Wo ist die nächste U-Bahn-Haltestelle?
"I’d like to rent a car, please.",Ich möchte ein Auto mieten.
A small car.,Einen Kleinwagen.
A medium car.,Ein mittelgroßes Auto.
A big car.,Ein großes Auto.
I would like a ticket to ___________.,Ich hätte gerne eine Fahrkarte nach ___________.
I would like a round trip ticket.,Ich hätte gerne eine Hin- und Rückfahrkarte.
At what time _________?,Um welche Uhrzeit _________?
Is it close?,Ist es in der Nähe?
Is it far?,Ist es weit?
Turn left.,Links abbiegen.
Turn right.,Rechts abbiegen.
Go straight.,Geradeaus.
Block,Block
Roundabout,Kreisverkehr
Do you have a map?,Haben Sie eine Karte?